수요처명,시설유형,소재지주소,전화번호,데이터기준일자
오정어린이집,공공시설,대전광역시 대덕구  대전로1066번길 52 오정어린이집,042-673-5865,2020-09-10
오정웨딩캐슬,,대전광역시 대덕구 오정동 62-1,042-627-0003,2020-09-10
오정지역아동센터,민간시설,"대전 대덕구 오정동 오정로100번길 41, (오정동) 2층 오정지역아동센터",042-634-8191,2020-09-10
온달의집,민간시설,대전 대덕구 대화동 39-1,042-625-3005,2020-09-10
와동일대,,대전광역시 대덕구 읍내동 244-1,042-608-5603,2020-09-10
와동지역아동센터,민간시설,대전광역시 대덕구 회덕로21번길 30-6 (신대동),042-383-2159,2020-09-10
우리동네 작은도서관,민간기관,대전광역시 대덕구 대전로1177번길 34 쉴만한 물가 2층(새하늘교회 옆),042-633-4220,2020-09-10
우리쉼터노인복지센터,,대전광역시 대덕구 상서동 149번지,042-932-0804,2020-09-10
우리쉼터노인요양원,민간시설,대전광역시 대덕구 방두말5길 27 (상서동),042-932-0804,2020-09-10
우리함께요양원,민간시설,대전광역시 대덕구 동춘당로94번길 11-7 광혜빌딩8층,042-623-3275,2020-09-10
웰스테이요양원,민간시설,대전광역시 대덕구  덕암북로 92 ,042-936-5072,2020-09-10
육군제1123부대,공공시설,대전 대덕구 장동 사서함 49호,042-000-0000,2020-09-10
일심방문요양센터,민간기관,대전광역시 대덕구  석봉북로 29 일심방문요양센터,042-931-4980,2020-09-10
자강의집,민간시설,대전 대덕구 대화동 39-1,042-625-3006,2020-09-10
자강의집,민간시설,대전광역시 대덕구 대화1길 2 자강의집,042-349-5600,2020-09-10
자람자람작은도서관,민간시설,대전광역시 대덕구 대전로1032번길 51 (오정동),042-624-0936,2020-09-10
자모원,공공시설,대전광역시 대덕구 신탄진동 상서동 830-6,042-934-6934,2020-09-10
장동산림욕장,민간기관,대전광역시 대덕구 장동 0,042-000-0000,2020-09-10
장애인문화예술대전묵향회,민간시설,대전광역시 대덕구 오정동 495-6 대덕종합시장 209호,042-636-3680,2020-09-10
전국마라톤협회,민간기관,대전광역시 대덕구 비래서로 8 2층,042-638-1080,2020-09-10
점자도서관,민간시설,대전 대덕구 오정동 387-3,042-672-3652,2020-09-10
정화원,민간시설,대전광역시 대덕구 대화동 39-1 1층,042-625-3004,2020-09-10
좋은생각 어린이집,공공시설,대전광역시 대덕구  신탄진로218번길 73 ,042-627-8980,2020-09-10
주보라지역아동센터,,대전광역시 대덕구 비래동 116-3,042-631-2279,2020-09-10
중리동관내,공공시설,대전광역시 대덕구 중리남로 47 중리동주민센터앞,042-608-6734,2020-09-10
중리동주민센터,공공기관,대전광역시 대덕구 중리남로 47 (중리동),042-608-5731,2020-09-10
중리복지관어린이집,민간시설,대전 대덕구 법동 283-1,042-628-1476,2020-09-10
중리종합사회복지관,민간시설,대전광역시 대덕구 계족로663번길 34 주공아파트3단지 ,042-628-1476,2020-09-10
중리중학교,공공기관,"대전광역시 대덕구  중리동로 85 , 중리중학교",042-620-3073,2020-09-10
중앙병원,민간시설,대전 대덕구 법동 285-3,042-670-5147,2020-09-10
중앙지역아동센터,민간기관,대전광역시 대덕구  덕암로246번길 15-5 중앙지역아동센터,042-932-3375,2020-09-10
지역품앗이 한밭레츠,민간기관,대전광역시 대덕구 계족로 667-21 (법동),042-638-2465,2020-09-10
지적장애인거주시설 새둥지,민간시설,대전광역시 대덕구 대화1길 6 지적장애인거주시설 새둥지,042-349-6002,2020-09-10
천성보호작업장,민간시설,대전광역시 대덕구  대화1길 2 천성보호작업장,042-349-8940,2020-09-10
천성원,행정기관,대전 대덕구 대화동 39-1 천성원,042-625-3008,2020-09-10
청소년문화기술체험센터,민간시설,대전광역시 대덕구 용호동 55,042-863-1234,2020-09-10
청암대덕특수교욱원,민간시설,대전광역시 대덕구 비래동 125-30,042-623-8071,2020-09-10
체육재활원,민간시설,대전광역시 대덕구 대화로 10 (대화동),042-631-9889,2020-09-10
칠곡가톨릭병원,민간시설,대전광역시 대덕구 읍내동 1341-5,053-320-2500,2020-09-10
파란풍차어린이집,민간기관,대전광역시 대덕구  한밭대로1043번길 12-11 파라풍차어린이집,042-632-9396,2020-09-10
평강의집,민간시설,대전광역시 대덕구 대화1길 2 (대화동),042-620-8700,2020-09-10
포도나무주간보호센터,민간시설,대전광역시 대덕구  대전로 1081 오정빌딩 1층,042-622-0674,2020-09-10
푸른에듀센터,민간기관,대전광역시 대덕구  우암동로 23 푸른에듀종합학원,042-621-6903,2020-09-10
필그림복지원,민간시설,대전광역시 대덕구 송촌남로45번길 80 (송촌동),042-624-0029,2020-09-10
하늘별어린이집,민간시설,대전 대덕구 덕암동 15-61,042-932-8900,2020-09-10
한걸음원,,대전광역시 대덕구 오정동 대덕구청 복지지원팀,042-608-6732,2020-09-10
한국등산트레킹지원센터,기업체,대전광역시 대덕구  신상로 67 ,042-620-6300,2020-09-10
한국랭귀지아트센터,민간시설,대전광역시 대덕구  덕암북로70번길 35 72번길45,042-932-8477,2020-09-10
한국자유총연맹 대전대덕구지회,민간시설,대전광역시 대덕구 오정로78번길 111-14 (오정동),042-632-0231,2020-09-10
한국장애인고용공단 대전직업능력개발원,공공기관,대전광역시 대덕구 신일동로 70 (신일동),042-366-5421,2020-09-10
한국치매예방협회대전지부,민간기관,"대전광역시 대덕구  우암로 486 8, 창작빌딩 2층 (비래동 117-17)",042-673-5119,2020-09-10
한국타이어 대전공장 동그라미봉사단,기업체,대전광역시 대덕구  대덕대로1447번길 59-4 한국타이어 대전공장 문화홍보팀,042-930-1291,2020-09-10
한남병원,행정기관,대전 대덕구 중리동 237-3,042-624-1190,2020-09-10
한남요양병원,민간시설,대전광역시 대덕구 중리동 237-3번지,042-624-1190,2020-09-10
한남요양전문병원,민간시설,대전 대덕구 중리동 237-3,042-622-1068,2020-09-10
한마음아파트,,대전광역시 대덕구 법2동 한마음아파트 188,042-634-2376,2020-09-10
한밭지역아동센터,민간기관,대전광역시 대덕구  중리서로 81-1  ,042-622-1701,2020-09-10
한빛지역아동센터,,대전광역시 대덕구 오정동 대덕구청 복지지원팀,042-608-6732,2020-09-10
한자녀더갖기운동연합,민간기관,대전광역시 대덕구 선비마을로6번길 15-2 (송촌동),042-621-3311,2020-09-10
해드림노인요양공동생활가정,민간시설,대전광역시 대덕구  동춘당로94번길 11-27 6층 601호 해드림노인요양공동생활,042-349-3300,2020-09-10
해드림재가노인복지센터,민간시설,대전광역시 대덕구  동춘당로94번길 11-27 하나로프라자 601호 (송촌동),042-349-3300,2020-09-10
해바라기어린이집,민간시설,대전광역시 대덕구 석봉동 307-17번지,042-932-0232,2020-09-10
해피엔젤요양센터,민간시설,대전광역시 대덕구  송촌로  81 70  예성프라자 6층 해피엔젤요양센터,042-716-0300,2020-09-10
해피투게더대덕구네트워크,민간기관,대전광역시 대덕구 비래동 116-7,042-635-1194,2020-09-10
햇살한줌의집,민간시설,대전 대덕구 오정동 315-10,042-622-7018,2020-09-10
행복울타리,민간시설,대전광역시 대덕구 대전로1387번길 28 (읍내동 230-1) 행복울타리,070-4222-2066,2020-09-10
현대(아)노인정,민간시설,대전 대덕구 비래동 47-1,042-621-4943,2020-09-10
홍제요양병원,민간시설,대전광역시 대덕구  동서대로 1805 홍제요양병원,042-624-7582,2020-09-10
회덕동복지만두레,,대전광역시 대덕구 읍내동 244-1,042-608-5603,2020-09-10
회덕동주민센터,행정기관,대전광역시 대덕구 대전로 1376 (읍내동),042-608-5668,2020-09-10
회덕작은도서관,,대전광역시 대덕구 오정동 대덕구청 복지지원팀,042-608-6732,2020-09-10
회덕지역아동센터,민간시설,대전광역시 대덕구  아리랑로113번길 45 2층,042-636-0878,2020-09-10
회덕하나푸르니어린이집,공공기관,대전광역시 대덕구  대전로 1376 (읍내동 344-1) 회덕하나푸르니어린이집,042-673-8329,2020-09-10
희망나눔센터(오정),,대전광역시 대덕구 오정동 오정주민센터,042-608-5629,2020-09-10
힐링타운,민간시설,대전광역시 대덕구  송촌남로 55-12 ,042-624-1329,2020-09-10
